ConfigurationName,Focal,Sex,Sex_2,Species,Species_2,OriginCode,Origin,LifeExperienceCode,LifeExperience,PhysicalHarmCode,PhysicalHarm,TypeRearingCode,TypeRearing,InfancySocialExposureCode,InfancySocialExposure,JuvenileSocialExposureCode,JuvenileSocialExposure,NutritionDepCode,NutritionDep,MotherSeparationCode,MotherSeparation,RelocationsCode,Relocations,EstimatedAgeArrivalCode,EstimatedAgeArrivalGroup,EstimatedCurrentAgeCode,EstimatedCurrentAgeGroup,EstimatedAgeArrival,EstimatedCurrentAge,YearsCenter,YearsZoo,YearsRescue,Years exposed to adversity,% of lifetime exposed to adversity (years),Self-directed,Postural,Self-abuse,Kinetic,Oral,Others,Genital self-inspection,Other self-directed behaviours,Scratching/ Rubbing,Self-groom,Yawning,Grooming,Other affiliative,Other agonistic,Social play,Rank,SociallyConfident(R),Lonely,BizarreBehaviours,NoPhysicalCoordinated,CommunicationSkills(R),(Not)EyeContact,Playful(R),SocialAvoidance,SociallyAwkward,RestrictedInterests,Stereotypes,SociallyTense,StaresIntoSpace,Species-typicalReaction(R)
P6,Rolls,a2,female,c5,Macaca_mulatta,d2,Wild,f1,3,o2,2,e2,2,g3,3,h4,NA,n2,2,i1,2,m3,3,j4,NA,b6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.1,0.1,0.58,0,0,0.29,7.74,1.16,0.1,2.03,2.81,0.39,0,0.764,1,2.33,1.33,2,1,1,2.33,1.33,1,3.33,1.33,1,1,1.67
P5,Ron,a1,male,c2,Macaca assamensis,d1,Captive conceived,f3,1,o1,1,e1,1,g1,1,h1,1,n1,1,i2,1,m1,1,j1,0m-14m (infancy),b3,3y-8y (adolescence),born at the center,4.01,4.01,0,4.01,0,0,0,0,0.08,0,0.25,0,0.33,2.33,11.92,2.08,0,3.75,7.75,1.5,6.17,0.598,1.33,1,1,1,1.33,1,1,1,1,1,1,1.33,1,1
P8,Screamer,a2,female,c1,Macaca_arctoides,d2,Wild,f2,3,o2,2,e2,2,g2,2,h1,1,n2,2,i1,2,m3,3,j1,0m-14m (infancy),b3,3y-8y (adolescence),0.55,5.56,5.01,0.01,5,0.56,0.1,1.92,0,0,0,0,0,0,2.67,8.58,6.42,0,6.25,4.42,0.08,0.25,0.508,3,1.67,2,3.33,2,1.33,3,1.67,2.33,1.67,2,2.67,1.67,2
P4,Seko,a2,female,c4,Macaca_leonina,d2,Wild,f1,3,o4,NA,e2,2,g3,3,h2,2,n3,NA,i1,2,m2,2,j2,14m-36m (juvenility),b3,3y-8y (adolescence),1.85,4.44,2.59,0,2.59,1.85,0.42,0.08,0,0.08,0.08,0.08,NA,0,0.81,5.35,2.92,0.08,7.06,3.33,0.81,0.65,0.674,1.67,1.67,1.33,1,1,1.33,1.33,1.67,1.33,1.33,1.33,1.33,1.67,1.33
P9,Siineu,a1,male,c1,Macaca_arctoides,d2,Wild,f1,3,o4,NA,e2,2,g3,3,h1,1,n2,2,i1,2,m2,2,j1,0m-14m (infancy),b3,3y-8y (adolescence),0.75,6.65,5.9,0.9,5,1.65,0.25,4.11,1.46,11.83,9.94,0,1.29,7.46,4.46,10.88,7.28,0.69,10.45,13.11,1.11,0,0.849,1.67,1,2.67,2,1.33,1,2.33,1,2,1.67,4.33,1.33,2.33,2
P10,Silver,a2,female,c3,Macaca_fascicularis,d2,Wild,f1,3,o3,3,e2,2,g3,3,h3,3,n3,NA,i1,2,m3,3,j3,3y-8y (adolescence),b4,8y-15y (adulthood),3.52,10.45,6.93,1.93,5,5.45,0.52,0,0,0,0,1.33,0.08,0,1.25,7.08,3,0.42,5.75,3.58,0.83,0,0,2.67,2.33,2,1,2,2,4.33,2.67,2.33,1.33,2,2.67,1.67,1
P2,SomSii,a2,female,c1,Macaca_arctoides,d2,Wild,f1,3,o2,2,e2,2,g3,3,h4,NA,n2,2,i1,2,m3,3,j1,0m-14m (infancy),b1,0m-14m (infancy),1,1.48,0.48,0,0.48,1,0.68,0.3,0.6,0,0,0,6.31,0,1.8,13.81,1.2,0,1.2,0.9,0,0,0,2.67,3.33,4.33,2,4,3.67,4.67,3.67,4.33,3.33,4.67,4.33,1.67,3.33
P4,Stripes,a1,male,c4,Macaca_leonina,d2,Wild,f1,3,o4,NA,e1,1,g3,3,h1,1,n3,NA,i1,2,m3,3,j1,0m-14m (infancy),b3,3y-8y (adolescence),1.01,5.11,4.1,0,4.1,1.01,0.2,0.08,0,0,2.27,0.32,0.24,0.32,0.57,4.87,2.68,0.08,3.24,7.38,0.49,3.65,0.892,1,1.33,1.33,1,1,1,1,1.33,1,1.33,1.67,1,1.33,1
P7,Ted,a1,male,c4,Macaca_leonina,d2,Wild,f1,3,o4,NA,e2,2,g3,3,h3,3,n3,NA,i1,2,m4,4,j3,3y-8y (adolescence),b3,3y-8y (adolescence),3.08,7.63,4.55,0,4.55,3.08,0.4,0,0,0.1,2.32,0,0.29,0.19,1.84,9.97,1.55,0.48,1.94,3.58,0.1,0.19,1,1,2.33,1.33,1,1,1,2,1,1.33,1,2,1,1,1.33
P4,Thalii,a2,female,c5,Macaca_mulatta,d2,Wild,f1,3,o4,NA,e2,2,g3,3,h2,2,n3,NA,i1,2,m3,3,j2,14m-36m (juvenility),b2,14m-36m (juvenility),2,2.94,0.94,0,0.94,2,0.68,0,0,0,0,0,0,0,0.21,4.93,2.36,0,6.42,3.21,0.43,0.21,0.067,2,1.33,1,1,1.33,1,2,1.33,1.67,1.33,1,2,1,2
P5,ThongThong,a1,male,c2,Macaca_assamensis,d2,Wild,f1,3,o2,2,e2,2,g3,3,h2,2,n2,2,i1,2,m3,3,j2,14m-36m (juvenility),b3,3y-8y (adolescence),2.25,4.24,1.99,0,1.99,2.25,0.53,3.25,0.08,0.83,1.33,0.5,0.25,0.17,2.67,9,2.75,0.17,2.42,6.08,0.83,1.33,0.386,2,1.67,2.67,1.67,1.67,1.33,1,1,1.33,3.33,3.33,1.33,1.67,2
P10,Toasty,a2,female,c3,Macaca_fascicularis,d2,Wild,f4,2,o3,3,e2,2,g3,3,h2,2,n2,2,i1,2,m2,2,j2,14m-36m (juvenility),b3,3y-8y (adolescence),2.54,5.27,2.73,0,2.73,2.54,0.48,0,0,0,1,0.33,0,0,1,5,0.92,0.08,1.58,1.33,0.17,0.17,0.496,5,3,2.67,1,2.67,4.33,4.67,4,4,2.67,2,4.33,2,2.33
P1,Tsai,a1,male,c1,Macaca_arctoides,d2,Wild,f1,3,o4,NA,e2,2,g3,3,h3,3,n3,NA,i1,2,m3,3,j2,14m-36m (juvenility),b5,>15y (elderly),2.35,18.63,16.28,11.28,5,13.63,0.73,0,0,0,0,0,0,0.33,1.92,4.75,2.08,0.58,5.33,3.75,0.25,0,1,1.33,2,1,1,1.33,2.33,2.33,1.33,1,1.33,1,1,3,1.67
P4,Woody,a1,male,c5,Macaca_mulatta,d2,Wild,f1,3,o4,NA,e1,1,g1,1,h1,1,n3,NA,i1,2,m3,3,j1,0m-14m (infancy),b2,14m-36m (juvenility),0.33,2.94,2.61,0,2.61,0.33,0.11,0,0,0,0,0,0,0.24,0.65,6.24,1.46,0,2.35,2.35,0.57,6.73,0.769,1.33,1.33,1,1,1,1.33,1,1,1,1.33,1,1,1,1
